Experience with data visualization,Years of school,count,Exp1or2,16+ years,16+yr & Exp1or2
1,0,4,,,
1,6,5,,,
1,7,1,,,
1,8,1,,,
1,9,2,,,
1,10,4,,,
1,11,2,,,
1,12,40,,,
1,13,16,,,
1,14,22,,,
1,15,44,,,
1,16,338,,,
1,17,41,,,
1,18,64,,,
1,19,18,,,
1,20,495,,,
2,0,1,,,
2,6,3,,,
2,7,2,,,
2,8,2,,,
2,10,6,,,
2,11,1,,,
2,12,14,,,
2,13,3,,,
2,14,11,,,
2,15,22,,,
2,16,185,,,
2,17,31,,,
2,18,39,,,
2,19,17,,,
2,20,349,,,
3,0,1,,,
3,6,3,,,
3,8,1,,,
3,10,8,,,
3,12,10,,,
3,13,3,,,
3,14,15,,,
3,15,21,,,
3,16,185,,,
3,17,31,,,
3,18,54,,,
3,19,15,,,
3,20,329,,,
4,0,1,,,
4,6,1,,,
4,10,1,,,
4,11,1,,,
4,12,5,,,
4,13,3,,,
4,15,2,,,
4,16,46,,,
4,17,8,,,
4,18,14,,,
4,19,7,,,
4,20,126,,,
5,6,1,,,
5,8,1,,,
5,10,3,,,
5,12,4,,,
5,14,1,,,
5,15,4,,,
5,16,21,,,
5,17,5,,,
5,18,5,,,
5,20,34,,,
TOTAL,,2753,1783,2457,1577
,,,0.647657101,0.89248093,0.641839642
,,,64% of total,89% of total,64% of those with 16+ years of ed